,transaction_type_ATM Withdrawal,transaction_type_Online,transaction_type_POS,device_type_Laptop,device_type_Mobile,location_Mumbai,location_New York,location_Sydney,location_Tokyo,merchant_Electronics,merchant_Groceries,merchant_Restaurants,merchant_Travel,auth_method_Biometric,auth_method_OTP,auth_method_PIN,card_type_Amex,card_type_Discover,card_type_Visa
47,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
48,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
49,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
51,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
55,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
57,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
58,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
59,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
60,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
61,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
62,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
63,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
64,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
66,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
67,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
68,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
69,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
70,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
71,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
74,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
76,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
79,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
80,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
81,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
82,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
83,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
84,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
85,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
86,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
87,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
89,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
90,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
93,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
94,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
95,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
96,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
97,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
98,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
99,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
101,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
102,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
103,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
107,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
109,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
110,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
111,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
112,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
113,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
114,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
115,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
116,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
117,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
118,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
119,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
120,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
122,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
123,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
124,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
125,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
126,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
127,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
128,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
129,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
130,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
131,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
132,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
133,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
134,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
135,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
136,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
137,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
138,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
139,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
140,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
141,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
142,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
143,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
147,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
148,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
149,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
151,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
152,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
153,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
154,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
155,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
156,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
157,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
158,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
159,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
160,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
161,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
164,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
165,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
166,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
167,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
168,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
169,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
170,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
171,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
172,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
173,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
174,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
175,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
176,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
177,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
178,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
179,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
180,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
181,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
182,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
183,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
184,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
185,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
186,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
187,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
188,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
189,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
190,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
191,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
192,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
193,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
194,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
195,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
196,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
197,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
198,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
199,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
200,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
201,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
202,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
203,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
204,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
205,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
206,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
207,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
209,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
210,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
211,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
212,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
213,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
214,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
215,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
216,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
217,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
218,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
219,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
220,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
222,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
223,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
224,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
225,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
226,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
227,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
228,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
229,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
230,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
231,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
232,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
233,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
234,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
237,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
238,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
239,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
240,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
241,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
242,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
243,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
244,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
245,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
246,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
247,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
248,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
249,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
250,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
252,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
253,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
254,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
255,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
256,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
257,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
258,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
259,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
260,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
261,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
262,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
263,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
264,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
265,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
266,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
267,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
268,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
269,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
270,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
271,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
272,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
274,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
275,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
276,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
277,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
278,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
279,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
280,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
281,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
282,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
284,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
285,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
286,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
287,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
288,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
289,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
290,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
291,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
292,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
293,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
294,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
295,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
296,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
297,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
298,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
299,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
301,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
302,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
303,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
304,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
305,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
306,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
307,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
308,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
309,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
310,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
311,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
312,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
313,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
314,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
315,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
316,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
317,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
318,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
319,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
321,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
322,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
323,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
324,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
326,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
327,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
328,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
329,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
330,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
331,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
332,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
333,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
334,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
335,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
336,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
337,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
338,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
339,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
340,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
