Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
275.65,Bank Transfer,2023-12-02 11:56:00,85737.26,Tablet,London,Electronics,0,0,12,488.71,4,Mastercard,81,4465.95,Biometric,0.2202,0,1
29.55,POS,2023-11-19 05:28:00,2240.1,Mobile,New York,Travel,0,0,2,104.46,0,Discover,105,4841.55,Password,0.9665,0,1
391.11,Bank Transfer,2023-07-26 20:08:00,18665.92,Laptop,Mumbai,Clothing,0,0,10,459.58,2,Amex,111,2769.19,OTP,0.2425,0,0
182.61,ATM Withdrawal,2023-05-12 15:10:00,62007.0,Laptop,New York,Electronics,0,0,11,490.01,1,Visa,34,1756.74,Biometric,0.4149,0,0
117.48,POS,2023-10-20 06:15:00,45542.36,Laptop,Sydney,Electronics,0,0,4,388.25,4,Mastercard,77,3203.66,OTP,0.4494,0,1
71.57,Online,2023-10-18 11:52:00,43186.9,Laptop,London,Travel,0,0,6,46.97,1,Visa,182,635.42,Password,0.7895,0,0
15.58,POS,2023-03-29 04:06:00,81228.01,Tablet,Tokyo,Clothing,0,0,3,87.19,0,Visa,51,167.05,Biometric,0.6615,0,0
34.17,Online,2023-04-26 17:08:00,3504.52,Tablet,Mumbai,Groceries,0,0,6,40.08,1,Discover,67,2456.53,Password,0.7734,1,0
30.82,ATM Withdrawal,2023-12-19 17:11:00,41707.02,Mobile,Tokyo,Groceries,0,0,10,91.45,2,Mastercard,126,4274.32,Biometric,0.4959,0,0
211.64,Bank Transfer,2023-06-17 13:46:00,70568.72,Mobile,New York,Electronics,0,0,2,471.34,3,Mastercard,136,2000.97,Biometric,0.4062,0,0
18.65,Bank Transfer,2023-12-22 19:40:00,61657.66,Mobile,Sydney,Groceries,0,0,9,52.79,3,Mastercard,52,3827.1,OTP,0.3112,0,0
69.37,Bank Transfer,2023-08-30 20:02:00,41663.07,Mobile,Mumbai,Electronics,0,0,9,336.7,1,Mastercard,116,1669.78,PIN,0.7091,0,0
93.83,POS,2023-03-13 06:10:00,19389.55,Mobile,New York,Groceries,0,0,2,443.9,3,Visa,206,2579.97,Password,0.4603,1,0
6.75,Online,2023-10-06 06:30:00,20855.47,Laptop,New York,Travel,0,1,5,284.96,1,Mastercard,182,2200.25,Password,0.4277,0,0
152.78,Bank Transfer,2023-06-20 04:31:00,26791.24,Tablet,New York,Electronics,0,0,13,256.36,1,Mastercard,106,4789.71,PIN,0.83,1,0
30.0,ATM Withdrawal,2023-05-04 21:31:00,11517.16,Laptop,London,Electronics,0,0,13,408.73,0,Amex,135,3844.04,OTP,0.9935,1,1
158.35,Online,2023-10-04 08:12:00,86152.6,Tablet,Tokyo,Restaurants,0,0,2,313.99,2,Amex,120,2553.74,OTP,0.3259,0,0
43.32,ATM Withdrawal,2023-11-09 22:20:00,99653.71,Laptop,Sydney,Clothing,0,0,11,306.4,0,Visa,149,3888.87,OTP,0.0931,0,0
16.68,ATM Withdrawal,2023-12-31 18:57:00,30448.65,Laptop,Tokyo,Electronics,0,0,14,125.72,4,Discover,172,4249.52,OTP,0.9112,0,1
18.0,ATM Withdrawal,2023-12-04 08:11:00,55286.14,Mobile,New York,Groceries,0,0,3,253.64,4,Amex,50,813.14,Password,0.1114,0,1
64.51,Bank Transfer,2023-07-06 22:54:00,77423.16,Laptop,London,Electronics,0,0,10,197.89,1,Discover,17,3695.45,Password,0.4752,0,0
100.44,ATM Withdrawal,2023-04-25 06:13:00,4647.71,Tablet,London,Groceries,0,0,14,113.19,2,Discover,204,4558.46,OTP,0.2569,0,0
62.51,Bank Transfer,2023-05-16 15:25:00,50216.88,Laptop,London,Electronics,0,0,6,282.5,2,Visa,1,4641.34,Biometric,0.2781,0,0
126.03,Online,2023-03-27 06:40:00,73063.2,Laptop,London,Electronics,0,0,3,44.37,4,Mastercard,29,3902.97,Password,0.2435,0,1
21.01,ATM Withdrawal,2023-12-27 20:50:00,42245.15,Mobile,Tokyo,Electronics,0,0,5,378.41,4,Discover,71,3464.51,OTP,0.5291,0,1
124.98,Online,2023-05-20 10:03:00,40964.44,Tablet,London,Groceries,0,0,9,303.7,1,Amex,22,4413.01,Biometric,0.9449,1,1
69.11,ATM Withdrawal,2023-07-15 22:49:00,41476.64,Mobile,New York,Clothing,0,0,7,353.26,4,Visa,14,2520.57,PIN,0.6391,0,1
4.52,Bank Transfer,2023-09-14 11:01:00,97374.69,Tablet,New York,Restaurants,0,0,5,96.14,0,Discover,188,2596.09,Biometric,0.962,0,1
103.71,POS,2023-07-11 02:51:00,80340.28,Laptop,Mumbai,Clothing,0,0,6,276.04,3,Amex,171,4005.18,OTP,0.0968,1,0
85.01,ATM Withdrawal,2023-05-09 11:54:00,71200.65,Mobile,New York,Electronics,0,0,6,328.32,1,Discover,118,4101.8,Biometric,0.4153,0,0
64.93,Online,2023-02-16 01:51:00,6989.61,Tablet,Mumbai,Clothing,0,0,10,85.29,4,Visa,239,1567.18,Biometric,0.4166,0,1
154.59,Bank Transfer,2023-01-31 00:48:00,80411.71,Mobile,London,Clothing,0,0,10,491.89,4,Mastercard,237,367.12,OTP,0.8846,0,1
83.84,Bank Transfer,2023-08-14 01:27:00,49135.29,Tablet,New York,Clothing,0,0,14,260.13,3,Visa,31,3613.11,Password,0.858,0,1
15.66,ATM Withdrawal,2023-07-22 15:46:00,37248.15,Mobile,Sydney,Clothing,0,0,9,118.33,1,Mastercard,72,4847.54,Password,0.1079,1,0
44.06,Bank Transfer,2023-02-18 12:26:00,91551.55,Mobile,London,Clothing,0,0,8,324.92,2,Discover,178,3956.54,Password,0.9332,1,1
7.31,Bank Transfer,2023-05-21 14:58:00,47213.52,Laptop,London,Restaurants,0,0,2,268.83,3,Mastercard,114,294.92,Password,0.6188,0,0
41.39,ATM Withdrawal,2023-04-16 23:51:00,36837.71,Tablet,Sydney,Restaurants,0,0,7,466.61,0,Discover,163,3927.61,Biometric,0.2023,1,0
94.1,Online,2023-10-26 09:02:00,3779.15,Mobile,Tokyo,Travel,0,0,11,176.36,4,Mastercard,63,557.37,Biometric,0.9989,0,1
56.95,Online,2023-12-06 01:15:00,71841.36,Mobile,Tokyo,Restaurants,0,0,5,276.25,3,Discover,179,2481.36,Biometric,0.7363,1,0
3.44,ATM Withdrawal,2023-07-08 03:09:00,79030.8,Tablet,London,Electronics,0,0,10,75.91,4,Mastercard,41,3111.45,OTP,0.3078,0,1
3.19,ATM Withdrawal,2023-04-25 13:53:00,66607.47,Laptop,Sydney,Travel,0,0,13,355.82,3,Amex,68,914.47,OTP,0.4092,0,0
121.09,Bank Transfer,2023-12-30 15:46:00,27952.55,Laptop,Sydney,Restaurants,0,0,2,482.73,1,Mastercard,86,3445.67,Biometric,0.4855,0,0
81.85,ATM Withdrawal,2023-04-04 04:08:00,48541.09,Tablet,London,Travel,0,0,1,219.1,1,Mastercard,230,2270.62,Password,0.54,0,0
69.48,Online,2023-09-28 08:52:00,9813.57,Mobile,Mumbai,Clothing,0,0,13,267.89,4,Visa,169,3368.37,Biometric,0.5748,0,1
148.23,ATM Withdrawal,2023-04-06 09:02:00,93294.46,Laptop,New York,Clothing,0,0,2,310.54,2,Discover,3,1187.41,Biometric,0.7617,1,0
76.94,ATM Withdrawal,2023-10-23 07:48:00,74407.54,Mobile,Sydney,Travel,0,1,14,392.03,0,Mastercard,162,2575.45,OTP,0.1424,0,0
133.53,Bank Transfer,2023-03-20 08:17:00,36679.44,Laptop,London,Electronics,0,0,3,375.1,1,Mastercard,128,1150.33,Biometric,0.3881,1,0
28.43,ATM Withdrawal,2023-02-26 09:37:00,65047.45,Tablet,Sydney,Restaurants,0,0,8,230.31,4,Mastercard,102,840.54,PIN,0.0543,1,1
65.37,Online,2023-06-09 09:00:00,71396.56,Tablet,Tokyo,Clothing,1,0,13,267.92,2,Mastercard,60,1266.62,PIN,0.0383,1,0
45.52,POS,2023-01-19 14:40:00,7478.03,Mobile,London,Electronics,0,0,7,63.12,1,Visa,203,4164.74,Password,0.6796,0,0
316.58,Bank Transfer,2023-02-24 17:20:00,69402.01,Mobile,London,Clothing,0,0,11,268.59,3,Amex,14,4837.94,PIN,0.0554,0,0
20.42,Bank Transfer,2023-02-15 03:08:00,14368.76,Laptop,Sydney,Groceries,0,0,8,474.25,4,Mastercard,70,1194.42,Password,0.8448,0,1
35.25,Bank Transfer,2023-10-20 12:02:00,91033.68,Laptop,Tokyo,Groceries,0,0,9,257.14,3,Amex,147,1729.16,PIN,0.665,1,0
47.15,Online,2023-10-19 16:32:00,76362.52,Tablet,Mumbai,Groceries,0,1,12,139.79,2,Visa,187,1742.19,PIN,0.1143,0,0
24.95,POS,2023-10-03 07:09:00,40716.69,Laptop,London,Clothing,0,0,1,57.26,1,Mastercard,70,1674.43,OTP,0.3064,1,0
37.67,ATM Withdrawal,2023-09-23 07:15:00,9993.52,Mobile,Tokyo,Travel,0,0,8,88.25,1,Discover,28,3497.74,PIN,0.4083,1,0
42.05,ATM Withdrawal,2023-09-14 02:23:00,49199.49,Mobile,Tokyo,Travel,0,0,7,177.76,2,Mastercard,117,2288.92,Biometric,0.502,0,0
65.15,Online,2023-04-04 22:32:00,36839.15,Laptop,Mumbai,Groceries,0,0,5,280.56,1,Mastercard,165,1865.62,Biometric,0.6449,0,0
107.67,ATM Withdrawal,2023-06-29 20:15:00,4763.11,Laptop,New York,Electronics,0,1,9,349.01,3,Mastercard,84,4818.62,PIN,0.8001,0,0
184.21,Online,2023-02-23 11:39:00,87760.42,Laptop,London,Clothing,0,0,1,93.51,2,Discover,46,2970.61,OTP,0.4725,0,0
98.04,POS,2023-05-24 07:01:00,86922.36,Laptop,Sydney,Clothing,0,0,1,67.58,1,Discover,235,4437.18,OTP,0.3,1,0
124.25,Online,2023-07-23 12:43:00,20706.59,Laptop,London,Electronics,0,0,2,499.19,3,Amex,167,4443.22,Password,0.7983,1,0
121.1,Bank Transfer,2023-10-22 15:58:00,18095.4,Laptop,Mumbai,Groceries,0,0,12,306.09,2,Discover,75,852.52,PIN,0.9019,0,1
280.17,Bank Transfer,2023-09-28 02:39:00,65041.02,Laptop,Mumbai,Electronics,0,0,6,434.04,4,Discover,158,2300.34,OTP,0.9833,0,1
66.05,POS,2023-06-17 00:24:00,93263.56,Mobile,London,Clothing,0,0,4,120.45,0,Mastercard,25,366.4,Password,0.5551,0,0
22.84,POS,2023-04-23 11:51:00,97227.84,Mobile,New York,Electronics,0,0,11,438.05,0,Discover,205,511.76,OTP,0.1606,1,0
98.8,POS,2023-10-06 07:04:00,17284.62,Tablet,Tokyo,Groceries,0,0,3,23.56,1,Amex,2,4879.69,Biometric,0.9797,1,1
97.91,Online,2023-12-04 15:34:00,85303.42,Laptop,Tokyo,Clothing,0,0,2,295.49,0,Amex,159,4740.18,Biometric,0.6625,0,0
48.01,POS,2023-05-12 02:56:00,62574.68,Laptop,London,Restaurants,0,0,6,368.4,4,Visa,112,4931.13,Password,0.4814,0,1
94.8,POS,2023-02-17 07:39:00,43638.71,Laptop,New York,Travel,0,0,14,395.13,0,Amex,65,3669.28,PIN,0.125,0,0
40.98,POS,2023-07-16 12:17:00,69441.09,Tablet,Tokyo,Clothing,0,0,10,484.48,3,Mastercard,208,3879.16,Password,0.4622,0,0
99.16,POS,2023-11-19 09:49:00,57369.32,Tablet,New York,Travel,0,0,5,378.87,1,Amex,209,4634.9,OTP,0.7515,0,0
157.18,Online,2023-11-27 08:43:00,45009.58,Laptop,London,Groceries,0,0,14,67.29,4,Amex,172,1130.54,Password,0.6721,0,1
82.18,POS,2023-08-12 02:36:00,64692.55,Laptop,New York,Clothing,0,0,2,69.44,0,Mastercard,47,3272.83,Password,0.2505,0,0
218.21,POS,2023-04-27 14:45:00,79298.33,Tablet,Sydney,Clothing,0,0,6,355.69,3,Amex,139,4821.32,OTP,0.1769,1,0
282.26,Online,2023-06-10 03:48:00,54903.71,Laptop,London,Clothing,0,0,3,286.82,2,Mastercard,91,1858.88,Biometric,0.4359,0,0
90.03,Online,2023-01-15 07:32:00,66552.04,Tablet,New York,Electronics,0,0,14,212.64,4,Visa,122,1984.93,Password,0.6264,0,1
11.69,Online,2023-08-27 03:07:00,26644.32,Mobile,Sydney,Restaurants,0,0,14,62.72,4,Amex,169,4747.33,Password,0.9763,0,1
0.4,POS,2023-07-18 07:53:00,78630.79,Laptop,Tokyo,Travel,0,0,12,232.8,4,Amex,219,54.7,OTP,0.2465,0,1
22.96,Bank Transfer,2023-09-26 20:48:00,37148.82,Laptop,Tokyo,Groceries,0,0,1,387.84,0,Visa,112,4726.16,OTP,0.3842,1,0
58.45,POS,2023-02-14 11:36:00,54889.52,Mobile,London,Travel,1,0,5,238.82,0,Mastercard,190,4977.47,OTP,0.3231,0,0
29.85,POS,2023-08-26 09:54:00,64295.65,Laptop,Mumbai,Electronics,0,0,6,262.31,2,Mastercard,33,1064.35,Biometric,0.2698,0,0
73.88,Bank Transfer,2023-11-05 17:39:00,77817.15,Tablet,Tokyo,Groceries,0,0,13,24.24,0,Amex,158,4774.47,OTP,0.2908,0,0
104.53,POS,2023-11-08 14:54:00,3816.14,Laptop,Tokyo,Clothing,0,0,1,36.15,0,Mastercard,45,322.42,PIN,0.6787,0,0
52.1,POS,2023-11-10 19:43:00,93171.99,Tablet,Tokyo,Clothing,0,0,6,238.36,2,Mastercard,209,2388.29,OTP,0.278,0,0
7.55,POS,2023-02-19 19:41:00,8182.31,Laptop,Tokyo,Electronics,0,0,13,66.97,1,Visa,85,958.62,PIN,0.2532,0,0
114.77,Online,2023-03-18 12:36:00,16002.07,Mobile,Sydney,Clothing,0,0,3,107.3,1,Amex,81,2801.66,OTP,0.5627,1,0
74.34,Online,2023-11-17 18:45:00,53021.89,Tablet,London,Restaurants,0,0,3,91.75,2,Mastercard,6,3110.96,Password,0.5059,0,0
253.28,ATM Withdrawal,2023-06-17 22:20:00,19946.44,Laptop,New York,Clothing,0,0,4,24.5,3,Visa,182,4224.04,PIN,0.5808,0,0
120.52,Bank Transfer,2023-05-10 12:40:00,95508.21,Laptop,Tokyo,Restaurants,0,0,5,314.87,4,Amex,42,1899.7,Password,0.271,0,1
311.05,Online,2023-11-25 19:04:00,53402.83,Mobile,Mumbai,Clothing,0,0,1,326.55,0,Discover,113,2396.72,PIN,0.278,1,0
343.66,ATM Withdrawal,2023-06-15 19:21:00,31599.4,Tablet,New York,Groceries,0,0,13,97.79,2,Amex,49,2818.05,OTP,0.0207,0,0
230.77,POS,2023-10-13 08:33:00,91576.85,Mobile,London,Restaurants,0,0,1,412.29,1,Visa,49,2156.06,OTP,0.1461,0,0
160.48,Online,2023-08-20 01:00:00,84933.69,Mobile,London,Electronics,0,0,12,347.46,3,Amex,81,3348.26,PIN,0.6568,1,0
10.37,ATM Withdrawal,2023-04-08 08:11:00,38605.34,Tablet,Tokyo,Travel,0,0,5,45.61,1,Discover,20,4613.67,Password,0.38,1,0
328.52,POS,2023-10-11 11:34:00,79704.21,Mobile,Sydney,Electronics,0,0,7,378.54,4,Amex,113,156.73,OTP,0.0947,0,1
196.07,ATM Withdrawal,2023-09-10 09:23:00,97728.17,Mobile,New York,Groceries,0,0,13,471.53,3,Amex,171,1653.04,OTP,0.3039,0,0
80.23,Bank Transfer,2023-01-27 10:05:00,16760.34,Tablet,London,Restaurants,0,0,7,262.32,1,Visa,191,4755.44,OTP,0.2441,0,0
148.21,ATM Withdrawal,2023-03-12 11:03:00,85285.89,Tablet,Tokyo,Travel,0,0,1,71.72,4,Visa,187,2631.3,PIN,0.2252,1,1
14.87,ATM Withdrawal,2023-05-08 21:42:00,96620.12,Mobile,Sydney,Clothing,0,0,1,35.05,4,Amex,220,2196.56,PIN,0.4213,0,1
267.89,ATM Withdrawal,2023-01-09 10:05:00,11894.49,Laptop,New York,Clothing,0,0,13,82.78,1,Amex,134,4872.47,Biometric,0.7097,0,0
45.59,POS,2023-10-29 12:52:00,81255.53,Tablet,Mumbai,Restaurants,0,0,11,448.08,2,Amex,124,1565.76,PIN,0.1209,0,0
162.49,Online,2023-08-02 14:25:00,39113.37,Tablet,Sydney,Restaurants,0,0,2,234.32,0,Amex,138,1960.83,OTP,0.0247,0,0
26.84,Bank Transfer,2023-04-15 02:16:00,49935.0,Laptop,Sydney,Travel,0,0,11,214.01,3,Visa,119,629.34,Biometric,0.327,1,0
6.53,Online,2023-03-01 04:58:00,4920.73,Tablet,New York,Travel,0,0,9,292.14,1,Amex,230,4550.47,Biometric,0.4684,0,0
257.24,ATM Withdrawal,2023-04-21 10:32:00,8548.69,Tablet,London,Electronics,0,0,8,146.64,2,Mastercard,207,133.87,PIN,0.4379,0,0
149.37,Bank Transfer,2023-08-11 05:21:00,91343.78,Tablet,Mumbai,Groceries,0,0,6,497.58,4,Discover,90,4326.3,OTP,0.8784,0,1
108.19,Bank Transfer,2023-04-08 12:17:00,31364.99,Laptop,Tokyo,Restaurants,0,0,13,495.78,4,Mastercard,151,1268.17,Password,0.3689,1,1
137.41,Online,2023-08-28 10:34:00,11202.16,Mobile,New York,Travel,0,0,3,137.39,4,Discover,36,163.76,Password,0.4574,0,1
23.16,POS,2023-07-14 17:35:00,68940.26,Mobile,London,Clothing,0,0,13,358.37,1,Mastercard,183,1908.78,Password,0.9091,0,1
11.33,Online,2023-10-17 15:58:00,34951.5,Laptop,New York,Travel,0,0,2,218.74,4,Visa,82,1866.55,Biometric,0.0916,0,1
80.27,POS,2023-03-26 13:18:00,28534.02,Laptop,Sydney,Clothing,0,0,14,339.62,4,Mastercard,233,367.83,PIN,0.688,1,1
179.06,ATM Withdrawal,2023-01-10 08:16:00,18315.03,Laptop,Mumbai,Clothing,0,0,5,464.87,3,Mastercard,25,2213.37,Biometric,0.9948,0,1
75.62,Online,2023-08-08 16:16:00,43069.51,Laptop,Mumbai,Restaurants,0,1,7,172.87,2,Discover,8,2918.58,OTP,0.4687,1,0
110.83,ATM Withdrawal,2023-06-18 06:57:00,91637.8,Mobile,New York,Clothing,0,0,3,121.1,2,Amex,57,2656.04,Password,0.9889,0,1
86.8,POS,2023-11-23 19:04:00,31923.1,Mobile,New York,Restaurants,0,0,1,101.18,1,Discover,160,532.79,Password,0.1461,0,0
28.0,Online,2023-11-03 14:23:00,74699.13,Tablet,Tokyo,Clothing,0,1,4,153.75,3,Visa,128,540.81,PIN,0.0863,0,0
6.85,POS,2023-08-01 04:48:00,99127.49,Mobile,Tokyo,Electronics,0,0,12,231.92,4,Mastercard,52,1670.42,Password,0.6834,0,1
325.01,Bank Transfer,2023-05-22 20:28:00,1632.5,Tablet,Tokyo,Restaurants,0,0,5,179.86,4,Amex,149,258.9,Biometric,0.9614,0,1
56.83,Online,2023-06-08 05:48:00,57953.73,Mobile,Sydney,Electronics,0,0,7,286.76,1,Visa,197,1850.97,PIN,0.6346,0,0
23.9,Bank Transfer,2023-11-26 04:12:00,48109.76,Tablet,Mumbai,Clothing,0,0,14,36.49,3,Amex,239,228.79,PIN,0.5886,0,0
15.67,Online,2023-11-01 02:16:00,55368.77,Laptop,New York,Travel,0,0,13,264.23,1,Discover,83,994.73,OTP,0.2864,1,0
236.27,POS,2023-09-18 18:53:00,56692.69,Mobile,Tokyo,Restaurants,0,0,12,335.89,2,Visa,67,561.35,Password,0.7097,1,0
87.65,ATM Withdrawal,2023-10-09 06:05:00,43834.99,Laptop,Sydney,Travel,0,0,8,105.19,1,Visa,109,1064.96,Password,0.9492,1,1
6.3,POS,2023-09-08 23:56:00,68508.58,Laptop,London,Restaurants,0,0,14,330.72,0,Mastercard,90,4474.54,Password,0.3272,0,0
50.54,Online,2023-10-14 23:16:00,88131.98,Tablet,Sydney,Restaurants,0,0,14,324.97,2,Mastercard,237,3104.68,Biometric,0.8359,0,0
14.02,POS,2023-03-08 00:17:00,42960.61,Mobile,Sydney,Electronics,0,0,13,427.88,1,Visa,30,285.5,Biometric,0.6668,0,0
41.31,ATM Withdrawal,2023-08-14 12:53:00,40583.08,Tablet,Tokyo,Travel,0,0,4,15.44,4,Discover,126,4778.46,OTP,0.4314,0,1
2.65,Online,2023-08-01 03:45:00,56794.52,Mobile,London,Electronics,0,0,7,241.37,2,Mastercard,111,2083.05,PIN,0.0462,0,0
75.25,POS,2023-05-29 06:27:00,16633.18,Mobile,Tokyo,Restaurants,0,0,1,203.99,3,Mastercard,113,4497.9,PIN,0.2591,0,0
36.21,POS,2023-06-08 21:55:00,98334.58,Tablet,Sydney,Groceries,0,1,1,408.7,4,Discover,115,4658.32,Password,0.1982,0,1
11.42,Online,2023-06-14 22:17:00,19379.26,Mobile,Mumbai,Clothing,0,0,10,398.25,1,Visa,187,1437.47,Biometric,0.6075,0,0
116.43,Online,2023-09-10 18:12:00,75712.74,Laptop,Tokyo,Restaurants,0,0,13,462.26,2,Mastercard,49,704.78,OTP,0.9284,1,1
67.49,ATM Withdrawal,2023-10-18 06:11:00,76411.9,Laptop,Mumbai,Restaurants,0,0,9,90.53,3,Mastercard,10,981.06,Password,0.1742,0,0
305.14,Online,2023-02-21 03:38:00,76589.09,Laptop,Tokyo,Travel,0,0,8,129.07,1,Mastercard,85,4906.18,Biometric,0.6042,0,0
61.34,Bank Transfer,2023-09-19 04:48:00,51184.8,Mobile,Sydney,Groceries,0,1,8,110.53,2,Amex,238,3494.17,OTP,0.5705,0,0
