Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Age,Transaction_Distance,Risk_Score,Is_Weekend,Fraud_Label,Timestamp_month,Timestamp_day,Timestamp_hour
133.53,36679.44,0,0,3,375.1,1,128,1150.33,0.3881,1,0,3,20,8
28.43,65047.45,0,0,8,230.31,4,102,840.54,0.0543,1,1,2,26,9
65.37,71396.56,1,0,13,267.92,2,60,1266.62,0.0383,1,0,6,9,9
45.52,7478.03,0,0,7,63.12,1,203,4164.74,0.6796,0,0,1,19,14
316.58,69402.01,0,0,11,268.59,3,14,4837.94,0.0554,0,0,2,24,17
20.42,14368.76,0,0,8,474.25,4,70,1194.42,0.8448,0,1,2,15,3
35.25,91033.68,0,0,9,257.14,3,147,1729.16,0.665,1,0,10,20,12
47.15,76362.52,0,1,12,139.79,2,187,1742.19,0.1143,0,0,10,19,16
24.95,40716.69,0,0,1,57.26,1,70,1674.43,0.3064,1,0,10,3,7
37.67,9993.52,0,0,8,88.25,1,28,3497.74,0.4083,1,0,9,23,7
42.05,49199.49,0,0,7,177.76,2,117,2288.92,0.502,0,0,9,14,2
65.15,36839.15,0,0,5,280.56,1,165,1865.62,0.6449,0,0,4,4,22
107.67,4763.11,0,1,9,349.01,3,84,4818.62,0.8001,0,0,6,29,20
184.21,87760.42,0,0,1,93.51,2,46,2970.61,0.4725,0,0,2,23,11
98.04,86922.36,0,0,1,67.58,1,235,4437.18,0.3,1,0,5,24,7
124.25,20706.59,0,0,2,499.19,3,167,4443.22,0.7983,1,0,7,23,12
121.1,18095.4,0,0,12,306.09,2,75,852.52,0.9019,0,1,10,22,15
280.17,65041.02,0,0,6,434.04,4,158,2300.34,0.9833,0,1,9,28,2
66.05,93263.56,0,0,4,120.45,0,25,366.4,0.5551,0,0,6,17,0
22.84,97227.84,0,0,11,438.05,0,205,511.76,0.1606,1,0,4,23,11
98.8,17284.62,0,0,3,23.56,1,2,4879.69,0.9797,1,1,10,6,7
97.91,85303.42,0,0,2,295.49,0,159,4740.18,0.6625,0,0,12,4,15
48.01,62574.68,0,0,6,368.4,4,112,4931.13,0.4814,0,1,5,12,2
94.8,43638.71,0,0,14,395.13,0,65,3669.28,0.125,0,0,2,17,7
40.98,69441.09,0,0,10,484.48,3,208,3879.16,0.4622,0,0,7,16,12
99.16,57369.32,0,0,5,378.87,1,209,4634.9,0.7515,0,0,11,19,9
157.18,45009.58,0,0,14,67.29,4,172,1130.54,0.6721,0,1,11,27,8
82.18,64692.55,0,0,2,69.44,0,47,3272.83,0.2505,0,0,8,12,2
218.21,79298.33,0,0,6,355.69,3,139,4821.32,0.1769,1,0,4,27,14
282.26,54903.71,0,0,3,286.82,2,91,1858.88,0.4359,0,0,6,10,3
90.03,66552.04,0,0,14,212.64,4,122,1984.93,0.6264,0,1,1,15,7
11.69,26644.32,0,0,14,62.72,4,169,4747.33,0.9763,0,1,8,27,3
0.4,78630.79,0,0,12,232.8,4,219,54.7,0.2465,0,1,7,18,7
22.96,37148.82,0,0,1,387.84,0,112,4726.16,0.3842,1,0,9,26,20
58.45,54889.52,1,0,5,238.82,0,190,4977.47,0.3231,0,0,2,14,11
29.85,64295.65,0,0,6,262.31,2,33,1064.35,0.2698,0,0,8,26,9
73.88,77817.15,0,0,13,24.24,0,158,4774.47,0.2908,0,0,11,5,17
104.53,3816.14,0,0,1,36.15,0,45,322.42,0.6787,0,0,11,8,14
52.1,93171.99,0,0,6,238.36,2,209,2388.29,0.278,0,0,11,10,19
7.55,8182.31,0,0,13,66.97,1,85,958.62,0.2532,0,0,2,19,19
114.77,16002.07,0,0,3,107.3,1,81,2801.66,0.5627,1,0,3,18,12
74.34,53021.89,0,0,3,91.75,2,6,3110.96,0.5059,0,0,11,17,18
253.28,19946.44,0,0,4,24.5,3,182,4224.04,0.5808,0,0,6,17,22
120.52,95508.21,0,0,5,314.87,4,42,1899.7,0.271,0,1,5,10,12
311.05,53402.83,0,0,1,326.55,0,113,2396.72,0.278,1,0,11,25,19
343.66,31599.4,0,0,13,97.79,2,49,2818.05,0.0207,0,0,6,15,19
230.77,91576.85,0,0,1,412.29,1,49,2156.06,0.1461,0,0,10,13,8
160.48,84933.69,0,0,12,347.46,3,81,3348.26,0.6568,1,0,8,20,1
10.37,38605.34,0,0,5,45.61,1,20,4613.67,0.38,1,0,4,8,8
328.52,79704.21,0,0,7,378.54,4,113,156.73,0.0947,0,1,10,11,11
196.07,97728.17,0,0,13,471.53,3,171,1653.04,0.3039,0,0,9,10,9
80.23,16760.34,0,0,7,262.32,1,191,4755.44,0.2441,0,0,1,27,10
148.21,85285.89,0,0,1,71.72,4,187,2631.3,0.2252,1,1,3,12,11
14.87,96620.12,0,0,1,35.05,4,220,2196.56,0.4213,0,1,5,8,21
267.89,11894.49,0,0,13,82.78,1,134,4872.47,0.7097,0,0,1,9,10
45.59,81255.53,0,0,11,448.08,2,124,1565.76,0.1209,0,0,10,29,12
162.49,39113.37,0,0,2,234.32,0,138,1960.83,0.0247,0,0,8,2,14
26.84,49935.0,0,0,11,214.01,3,119,629.34,0.327,1,0,4,15,2
6.53,4920.73,0,0,9,292.14,1,230,4550.47,0.4684,0,0,3,1,4
257.24,8548.69,0,0,8,146.64,2,207,133.87,0.4379,0,0,4,21,10
149.37,91343.78,0,0,6,497.58,4,90,4326.3,0.8784,0,1,8,11,5
108.19,31364.99,0,0,13,495.78,4,151,1268.17,0.3689,1,1,4,8,12
137.41,11202.16,0,0,3,137.39,4,36,163.76,0.4574,0,1,8,28,10
23.16,68940.26,0,0,13,358.37,1,183,1908.78,0.9091,0,1,7,14,17
11.33,34951.5,0,0,2,218.74,4,82,1866.55,0.0916,0,1,10,17,15
80.27,28534.02,0,0,14,339.62,4,233,367.83,0.688,1,1,3,26,13
179.06,18315.03,0,0,5,464.87,3,25,2213.37,0.9948,0,1,1,10,8
75.62,43069.51,0,1,7,172.87,2,8,2918.58,0.4687,1,0,8,8,16
110.83,91637.8,0,0,3,121.1,2,57,2656.04,0.9889,0,1,6,18,6
86.8,31923.1,0,0,1,101.18,1,160,532.79,0.1461,0,0,11,23,19
28.0,74699.13,0,1,4,153.75,3,128,540.81,0.0863,0,0,11,3,14
6.85,99127.49,0,0,12,231.92,4,52,1670.42,0.6834,0,1,8,1,4
325.01,1632.5,0,0,5,179.86,4,149,258.9,0.9614,0,1,5,22,20
56.83,57953.73,0,0,7,286.76,1,197,1850.97,0.6346,0,0,6,8,5
23.9,48109.76,0,0,14,36.49,3,239,228.79,0.5886,0,0,11,26,4
15.67,55368.77,0,0,13,264.23,1,83,994.73,0.2864,1,0,11,1,2
236.27,56692.69,0,0,12,335.89,2,67,561.35,0.7097,1,0,9,18,18
87.65,43834.99,0,0,8,105.19,1,109,1064.96,0.9492,1,1,10,9,6
6.3,68508.58,0,0,14,330.72,0,90,4474.54,0.3272,0,0,9,8,23
50.54,88131.98,0,0,14,324.97,2,237,3104.68,0.8359,0,0,10,14,23
14.02,42960.61,0,0,13,427.88,1,30,285.5,0.6668,0,0,3,8,0
41.31,40583.08,0,0,4,15.44,4,126,4778.46,0.4314,0,1,8,14,12
2.65,56794.52,0,0,7,241.37,2,111,2083.05,0.0462,0,0,8,1,3
75.25,16633.18,0,0,1,203.99,3,113,4497.9,0.2591,0,0,5,29,6
36.21,98334.58,0,1,1,408.7,4,115,4658.32,0.1982,0,1,6,8,21
11.42,19379.26,0,0,10,398.25,1,187,1437.47,0.6075,0,0,6,14,22
116.43,75712.74,0,0,13,462.26,2,49,704.78,0.9284,1,1,9,10,18
67.49,76411.9,0,0,9,90.53,3,10,981.06,0.1742,0,0,10,18,6
305.14,76589.09,0,0,8,129.07,1,85,4906.18,0.6042,0,0,2,21,3
61.34,51184.8,0,1,8,110.53,2,238,3494.17,0.5705,0,0,9,19,4
23.66,51481.71,0,0,1,429.14,3,13,4315.13,0.5578,0,0,9,18,2
200.31,48940.18,0,0,7,208.03,1,122,1067.16,0.466,1,0,6,13,18
109.97,12746.65,0,0,12,317.29,4,185,2670.91,0.3355,0,1,12,20,10
54.81,93291.68,0,0,11,491.29,4,163,2510.69,0.1437,0,1,12,6,3
0.67,79266.25,0,0,4,426.77,3,193,319.55,0.4957,0,0,9,13,1
79.34,30206.45,0,0,9,490.94,4,193,3190.49,0.4065,0,1,10,4,17
98.94,3661.14,0,0,3,260.82,4,138,3369.12,0.5086,0,1,11,28,4
239.49,27330.55,0,0,7,316.53,4,211,1987.1,0.0358,1,1,9,1,5
21.9,25224.77,0,0,10,443.48,2,28,862.82,0.0618,0,0,10,13,6
17.87,63134.53,0,0,10,105.13,2,219,585.29,0.029,0,0,6,19,0
105.86,2129.43,0,0,6,167.57,2,191,641.25,0.452,0,0,11,11,0
257.51,60589.57,0,0,4,118.34,2,233,83.96,0.6312,0,0,10,26,4
135.89,35773.63,0,0,5,324.14,3,193,4603.25,0.2383,0,0,10,3,6
89.19,4656.55,0,0,10,233.5,2,209,3213.18,0.3581,0,0,1,9,10
441.88,25963.58,0,0,3,311.24,1,169,2980.7,0.7396,1,0,8,21,4
156.8,56293.38,0,0,4,83.71,2,105,1307.12,0.9265,1,1,1,18,23
175.92,80648.27,0,0,8,238.08,3,178,2009.65,0.2434,0,0,9,12,9
32.79,58424.94,0,0,13,389.02,3,96,3820.65,0.2455,0,0,6,12,8
4.54,76119.68,0,1,11,211.93,0,74,2883.1,0.9977,1,1,6,30,1
6.69,11285.7,0,0,2,449.32,4,232,2990.3,0.5612,0,1,5,27,9
194.32,77830.1,0,1,2,400.98,3,13,1597.26,0.9348,0,1,8,10,11
95.1,73033.31,0,0,9,280.64,1,128,4764.72,0.3037,0,0,11,23,15
20.89,2667.18,0,0,9,370.64,2,136,3908.83,0.9414,1,1,9,18,22
242.98,3142.25,0,0,8,342.14,3,94,2694.14,0.8104,0,0,7,25,18
115.7,95266.84,0,0,4,24.97,4,102,1383.18,0.4659,0,1,12,24,3
87.24,8900.61,0,1,3,241.97,4,24,3125.31,0.6972,0,1,1,5,9
35.55,70149.32,0,0,13,322.32,2,50,2512.39,0.1423,1,0,2,10,11
263.4,54355.6,0,0,4,348.61,4,199,850.39,0.3187,0,1,10,13,19
49.3,55337.45,0,0,6,454.38,1,191,222.87,0.9062,0,1,7,24,21
16.06,79616.34,0,0,8,216.22,3,173,1370.04,0.0189,0,0,10,3,14
131.41,33435.58,0,0,1,414.4,1,115,3429.79,0.0049,0,0,9,26,9
148.9,73152.12,0,1,1,320.01,3,20,3303.91,0.0211,0,0,9,7,22
153.94,68647.43,1,0,8,319.26,1,228,2965.77,0.4326,1,0,3,28,0
7.46,41564.59,0,0,12,277.09,2,40,4207.41,0.5275,1,0,8,25,8
360.9,70516.74,0,0,5,444.7,0,230,2992.57,0.6864,0,0,1,30,22
7.56,36198.73,0,0,10,414.37,0,18,2479.36,0.1753,1,0,3,30,3
63.46,17866.16,0,1,6,361.66,4,139,551.56,0.2602,0,1,6,29,3
69.9,69628.01,0,0,7,446.34,0,170,1703.62,0.6667,0,0,5,5,14
34.8,38581.31,0,0,6,211.47,4,90,3194.59,0.731,0,1,7,27,2
127.39,55360.84,0,0,9,373.47,3,98,3752.07,0.8946,0,1,2,3,8
242.98,66608.12,0,0,13,151.24,0,101,4566.97,0.1508,1,0,9,1,19
15.12,97737.36,0,0,9,269.5,3,226,4738.79,0.826,1,0,11,12,3
29.04,42752.1,0,0,3,114.49,4,207,2252.72,0.9817,0,1,12,11,5
49.08,58497.18,0,0,14,365.3,0,144,4413.16,0.123,1,0,2,1,15
276.38,70921.66,0,1,1,329.27,4,163,2577.29,0.8913,0,1,1,17,14
11.55,71064.19,1,0,6,131.6,3,84,3594.26,0.6401,0,0,2,10,8
53.78,52023.14,0,0,1,58.97,4,124,927.98,0.6542,0,1,9,22,21
44.03,82534.06,0,0,14,220.59,2,226,1673.83,0.242,0,0,1,30,10
30.65,82671.86,0,0,13,489.72,1,44,4593.24,0.2718,0,0,1,12,16
85.26,1322.73,1,0,14,93.99,2,190,2848.61,0.1976,1,0,8,21,10
90.59,1851.73,0,0,11,213.36,3,203,2116.26,0.9599,0,1,4,11,14
172.8,67497.95,0,0,4,119.44,0,114,1549.77,0.5027,0,0,8,11,8
2.95,10819.62,0,0,3,350.64,2,202,2221.43,0.7083,1,0,3,30,22
123.04,93112.69,0,0,2,89.23,3,42,4095.63,0.512,1,0,12,16,12
36.34,37858.11,0,0,9,479.22,3,231,33.11,0.5366,0,0,8,7,1
31.26,69525.72,0,0,6,377.98,0,131,4697.58,0.8385,1,0,8,16,12
5.41,76027.84,0,0,7,301.72,1,180,4149.36,0.1104,0,0,9,7,12
385.63,5366.6,0,0,7,35.5,4,135,3587.68,0.0074,1,1,12,20,23
13.65,25182.26,1,0,3,444.12,4,22,2312.95,0.7993,0,1,8,16,3
187.84,46485.61,1,0,2,35.22,2,143,3450.77,0.0014,0,0,12,24,17
26.99,18101.33,0,0,13,290.8,2,238,3387.44,0.2262,0,0,10,2,19
133.63,81854.79,0,0,10,242.58,4,48,665.08,0.1438,0,1,12,29,4
48.85,74681.74,0,0,10,308.7,0,227,4425.07,0.8853,0,1,9,14,9
25.51,55833.6,1,0,6,226.96,3,103,4684.06,0.5518,0,0,7,17,2
18.23,17101.58,0,0,6,95.18,0,214,2005.18,0.157,0,0,10,17,20
106.34,28591.62,0,0,4,196.53,4,100,3699.31,0.589,0,1,6,30,4
28.85,91196.98,0,0,7,444.93,2,31,4824.37,0.4835,0,0,5,26,16
2.74,9564.78,0,1,10,313.03,1,18,3916.91,0.0445,0,0,12,16,2
95.3,95792.98,0,0,8,489.22,4,8,448.95,0.6532,0,1,8,28,10
178.26,53674.52,0,0,4,266.21,1,193,4989.12,0.3524,0,0,3,1,16
5.97,66343.79,0,0,11,459.0,1,105,524.39,0.8031,0,0,2,10,1
170.74,58894.72,0,0,5,425.5,3,6,450.32,0.6823,0,0,2,22,18
40.39,89621.67,0,0,4,217.4,2,145,75.58,0.9111,0,1,8,16,20
41.29,17715.66,0,0,14,252.58,2,224,1508.75,0.0758,0,0,2,25,6
176.03,49276.16,0,0,13,214.41,2,182,579.71,0.2655,0,0,10,11,13
75.94,6145.69,0,0,12,38.49,2,113,109.28,0.199,0,0,2,1,2
13.97,90129.33,0,0,12,489.61,0,182,1833.47,0.4524,0,0,9,2,12
134.88,65932.98,0,0,1,142.81,4,188,1710.38,0.3986,1,1,4,10,14
93.83,60456.66,0,0,10,216.68,3,36,2653.3,0.9742,1,1,4,22,6
28.15,24811.96,0,0,13,114.09,1,110,3269.06,0.9772,1,1,9,4,13
91.39,45641.99,0,0,13,205.9,3,200,243.96,0.871,1,1,4,1,18
0.6,91836.28,0,0,10,239.25,2,84,4720.66,0.2682,0,0,1,25,19
140.6,13935.49,0,0,9,227.36,1,200,2864.87,0.7153,0,0,9,26,17
125.98,18825.25,0,0,12,356.86,2,57,3055.61,0.6694,1,0,5,2,16
96.72,1931.01,0,0,9,19.53,0,55,3391.74,0.2092,0,0,5,3,10
9.88,83239.62,0,0,12,471.16,3,57,31.63,0.2913,0,0,10,18,6
53.95,19977.99,0,0,6,232.78,1,158,4772.25,0.6003,1,0,10,30,10
24.12,41281.1,1,0,13,452.54,0,70,1664.05,0.1935,0,0,12,29,4
89.55,11916.4,0,0,5,275.61,4,140,1638.49,0.4929,0,1,11,22,0
86.18,92313.02,1,0,2,104.8,2,1,1390.5,0.7584,0,0,9,26,4
207.9,61040.16,0,0,7,168.18,2,107,4258.97,0.7722,0,0,10,4,21
28.15,75410.73,0,1,12,498.22,0,112,921.69,0.2857,1,0,9,20,8
78.31,31076.26,0,0,8,91.86,2,177,267.92,0.9074,1,1,3,30,23
240.18,66629.38,0,0,14,337.68,4,146,1801.72,0.0846,1,1,10,8,15
253.73,7729.86,0,0,8,284.56,3,138,573.67,0.6018,0,0,1,22,18
25.54,6141.98,0,0,6,260.71,1,13,3786.02,0.3522,0,0,1,25,11
23.11,70792.0,0,0,5,443.31,0,112,4618.67,0.4666,1,0,5,11,15
228.09,77676.47,0,0,3,134.13,1,22,984.54,0.4722,0,0,1,15,10
595.84,36527.85,0,0,10,468.5,3,5,4360.15,0.6887,0,0,10,8,22
89.3,92077.29,0,0,6,399.97,4,120,4129.72,0.6987,0,1,3,26,20
471.13,45470.58,0,0,8,230.69,4,23,2809.43,0.759,0,1,9,19,0
19.79,43709.46,0,0,10,35.58,2,105,220.39,0.6117,0,0,7,18,7
30.94,65305.36,0,0,10,119.31,1,97,3543.42,0.2085,0,0,3,3,2
66.77,35314.14,1,0,9,26.87,3,57,4722.15,0.9516,0,1,3,20,9
125.52,65378.49,0,0,7,147.66,1,132,561.82,0.5967,1,0,1,11,21
53.92,78081.79,0,0,9,362.31,0,65,4714.64,0.4363,1,0,7,16,16
42.79,62495.08,0,0,3,250.88,3,219,2369.18,0.9024,0,1,8,15,15
6.52,28122.42,0,0,12,105.81,0,43,1656.26,0.884,1,1,6,7,15
103.29,23672.62,0,0,13,465.15,0,201,4942.05,0.2809,1,0,2,9,0
87.47,55854.44,0,0,1,189.54,4,221,1648.79,0.5701,0,1,8,9,15
30.73,42778.15,0,0,2,492.35,3,60,2771.13,0.1896,1,0,1,6,6
21.01,49314.38,0,0,10,316.5,2,31,3743.53,0.8112,0,0,1,24,0
41.79,20313.61,0,0,5,191.51,3,63,3801.05,0.8659,0,1,12,5,7
236.26,76691.38,0,0,6,268.12,2,8,4640.43,0.5782,0,0,5,11,9
305.29,62408.23,0,0,9,199.88,2,206,379.78,0.4834,1,0,6,17,20
93.42,97679.45,1,0,6,444.62,1,111,131.28,0.9996,1,1,3,7,8
116.82,40539.04,0,0,9,116.89,2,55,2274.68,0.7467,1,0,5,15,10
204.07,35985.75,0,1,8,83.32,2,191,1012.65,0.8461,0,0,9,15,7
35.03,9325.64,0,0,3,321.65,4,152,1093.87,0.5175,1,1,4,27,12
230.8,42419.09,0,0,13,129.67,4,67,1536.92,0.0778,1,1,7,19,2
357.72,70004.55,0,0,11,437.94,0,38,3609.01,0.8591,1,1,4,30,23
9.3,96877.5,0,0,7,290.73,0,119,3430.87,0.8717,1,1,3,24,10
10.06,91340.29,0,0,10,413.03,2,96,2341.92,0.5311,1,0,9,18,15
93.38,71233.92,0,0,10,64.33,0,121,2177.53,0.3369,1,0,7,20,23
90.83,66732.4,0,0,13,161.63,2,41,1816.32,0.6335,0,0,3,22,15
244.93,48664.73,0,0,10,146.52,3,174,154.91,0.8824,1,1,9,19,6
26.32,7584.09,0,0,6,143.86,4,186,1513.92,0.1093,1,1,4,17,6
7.38,13119.48,0,0,8,443.31,0,237,2843.62,0.2525,1,0,10,25,15
88.26,10393.33,0,0,5,353.14,1,25,2673.11,0.9494,0,1,1,24,12
124.26,26606.33,0,1,14,371.25,2,155,772.49,0.3589,1,0,1,6,6
11.33,69855.03,0,0,9,198.9,3,122,4990.9,0.9641,0,1,3,14,22
97.82,98035.98,0,0,12,265.97,4,137,317.69,0.6286,1,1,2,20,9
112.31,88814.82,0,0,14,248.53,0,115,2419.36,0.1626,0,0,10,27,7
16.06,21501.19,0,0,9,129.92,0,235,518.06,0.3637,0,0,12,5,7
61.41,32190.3,0,0,10,456.7,4,208,2326.55,0.8581,0,1,8,4,14
28.88,64065.07,0,0,14,367.6,2,103,813.44,0.4807,0,0,3,13,12
9.32,71818.5,0,0,2,108.49,0,216,735.04,0.3203,0,0,6,13,15
81.96,64007.86,0,0,5,404.92,0,21,2463.35,0.8072,0,0,10,13,2
78.04,76819.85,0,0,11,311.41,1,200,2257.63,0.1123,1,0,11,20,5
27.34,69431.33,0,0,11,307.01,0,26,4229.65,0.2216,0,0,10,31,6
143.77,57655.57,0,0,3,233.38,1,178,3148.41,0.425,0,0,3,9,21
25.44,77404.49,0,0,10,80.19,3,217,67.76,0.1309,1,0,7,31,22
105.35,56150.77,0,0,5,314.44,4,146,1153.94,0.8889,0,1,11,18,18
90.53,91785.19,0,0,2,225.1,1,185,4798.82,0.5209,0,0,9,20,22
281.64,89045.77,0,0,8,359.8,4,9,4500.23,0.0424,0,1,4,5,5
135.0,53448.38,0,0,2,466.54,1,51,4729.32,0.0514,0,0,1,25,4
16.7,7731.87,0,0,8,402.11,1,55,2937.2,0.6501,1,0,5,19,3
